0,0.1
1e-06,0.0
2e-06,0.0
3e-06,0.0
4e-06,0.0
5e-06,0.0
6e-06,0.0
7e-06,0.0
8e-06,0.0
9e-06,6.74415098534697e-14
1e-05,1.07879465450953e-12
1.1e-05,5.46003396812861e-12
1.2e-05,1.72520941113275e-11
1.3e-05,4.21088521841476e-11
1.4e-05,8.72951118467262e-11
1.5e-05,1.61684589246259e-10
1.6e-05,2.75757900748849e-10
1.7e-05,4.41600552474825e-10
1.8e-05,6.7290096864357e-10
1.9e-05,9.84948299674403e-10
2e-05,1.39463078719823e-09
2.1e-05,1.92043346473326e-09
2.2e-05,2.5824360822017e-09
2.3e-05,3.40231143932339e-09
2.4e-05,4.40332309167662e-09
2.5e-05,5.61032361366271e-09
2.6e-05,7.04975212311286e-09
2.7e-05,8.74963306593702e-09
2.8e-05,1.07395735222637e-08
2.9e-05,1.30507615505743e-08
3e-05,1.57159640895338e-08
3.1e-05,1.87695247875903e-08
3.2e-05,2.22473629815874e-08
3.3e-05,2.61869700126226e-08
3.4e-05,3.06274089853768e-08
3.5e-05,3.56093116796493e-08
3.6e-05,4.11748766109007e-08
3.7e-05,4.73678681657864e-08
3.8e-05,5.42336130009148e-08
3.9e-05,6.18189991819275e-08
4e-05,7.01724743621584e-08
4.1e-05,7.93440425567798e-08
4.2e-05,8.93852638052972e-08
4.3e-05,1.00349250727187e-07
4.4e-05,1.12290667595804e-07
4.5e-05,1.2526572793376e-07
4.6e-05,1.39332192850208e-07
4.7e-05,1.54549368417703e-07
4.8e-05,1.70978104531111e-07
4.9e-05,1.88680791991928e-07
5e-05,2.07721362702976e-07
5.1e-05,2.28165284239729e-07
5.2e-05,2.50079560788671e-07
5.3e-05,2.73532730534692e-07
5.4e-05,2.98594862828193e-07
5.5e-05,3.25337557278329e-07
5.6e-05,3.53833940627556e-07
5.7e-05,3.8415866666253e-07
5.8e-05,4.1638791257405e-07
5.9e-05,4.50599377613193e-07
6e-05,4.86872281157085e-07
6.1e-05,5.25287361220501e-07
6.2e-05,5.65926870896786e-07
6.3e-05,6.08874579611487e-07
6.4e-05,6.5421576719828e-07
6.5e-05,7.02037225156073e-07
6.6e-05,7.52427254133091e-07
6.7e-05,8.05475659044218e-07
6.8e-05,8.61273751887617e-07
6.9e-05,9.19914346717506e-07
7e-05,9.81491758023351e-07
7.1e-05,1.04610180029502e-06
7.2e-05,1.11384178418499e-06
7.3e-05,1.18481051518878e-06
7.4e-05,1.25910829380739e-06
7.5e-05,1.33683691008638e-06
7.6e-05,1.41809964407779e-06
7.7e-05,1.50300126349131e-06
7.8e-05,1.59164802193918e-06
7.9e-05,1.68414765644276e-06
8e-05,1.78060938538482e-06
8.1e-05,1.88114390809194e-06
8.2e-05,1.98586340130997e-06
8.3e-05,2.09488151775361e-06
8.4e-05,2.2083133851018e-06
8.5e-05,2.32627560277442e-06
8.6e-05,2.44888624078299e-06
