Group,Task Number,Latency (Edge),Data Transmission Latency (Edge),Throughput (Edge)
4,Task 8,0.00935941219329834,7.71484375,378173.44261862413
4,Task 9,0.009379549026489258,3.90625,196660.87421575442
4,Task 10,0.006304516792297364,3.90625,330858.7398831178
4,Task 11,0.006529998779296875,1.953125,169467.57719257596
4,Task 12,0.00460752010345459,1.953125,273521.45061343146
4,Task 13,0.0052713298797607425,0.9765625,136467.11546419634
4,Task 14,0.004317021369934082,0.9765625,203029.04126829497
4,Task 15,0.004325723648071289,0.48828125,98009.20668302372
4,Task 16,0.003347001075744629,0.48828125,138903.35486982376
4,Task 17,0.003588738441467285,0.29296875,72846.89229455493
4,Task 18,0.0031682634353637695,0.29296875,88950.21986093698
4,Task 19,0.003883681297302246,0.1953125,59180.8494548982
4,Task 20,0.0035982656478881834,0.1953125,76486.38115332724
4,Task 21,0.0013793611526489258,0.000762939453,278.64945197598234
4,Task 22,0.0015983438491821288,0.0457763672,18937.819163105985
4,Task 23,0.0015277957916259766,0.0915527344,30898.518908685066
4,Task 24,0.0017099905014038087,0.183105469,66698.79977895896
4,Task 25,0.00022896766662597657,0.000762939453,724.9732951226005
5,Task 1,0.0018018484115600586,6.7024231,4875548.877274231
5,Task 2,0.055760645866394044,61.1328125,41997234.714325346
5,Task 3,0.04656442642211914,30.5664062,24709381.334807694
5,Task 4,0.02701981544494629,30.5664062,22042447.09857677
5,Task 5,0.026276912689208985,15.3320312,84771933.20325857
5,Task 6,0.01575556755065918,15.3320312,360397.5471903833
5,Task 7,0.015472335815429688,7.71484375,217161.48521474272
5,Task 8,0.009546222686767579,7.71484375,374243.85894135776
5,Task 9,0.00961646556854248,3.90625,194847.85220231014
5,Task 10,0.006566600799560547,3.90625,324964.4916654107
5,Task 11,0.006824169158935547,1.953125,165456.59495362404
5,Task 12,0.004780821800231934,1.953125,268168.89611725946
5,Task 13,0.005329694747924805,0.9765625,133105.0364478145
5,Task 14,0.004502954483032226,0.9765625,194925.81307602263
5,Task 15,0.004422168731689453,0.48828125,93784.31060167756
5,Task 16,0.003444390296936035,0.48828125,133868.19813467035
5,Task 17,0.0037888336181640626,0.29296875,72049.15443788147
5,Task 18,0.0032417821884155274,0.29296875,85277.34434069158
5,Task 19,0.003942508697509766,0.1953125,57890.147466670125
5,Task 20,0.0037279319763183594,0.1953125,74323.74903265909
5,Task 21,0.0013527393341064454,0.000762939453,263.9334689192727
5,Task 22,0.0019079351425170899,0.0457763672,18508.337856383238
5,Task 23,0.0016214084625244141,0.0915527344,30437.472484409845
5,Task 24,0.0018175840377807617,0.183105469,64378.85710484981
5,Task 25,0.00023705959320068358,0.000762939453,739.2407205047763
6,Task 1,0.0018077850341796874,6.7024231,4859537.961595274
6,Task 2,0.05579549789428711,61.1328125,50834204.20006897
6,Task 3,0.046405601501464847,30.5664062,26599897.339069925
6,Task 4,0.026646184921264648,30.5664062,23780428.829634577
6,Task 5,0.02557323455810547,15.3320312,89467088.25202735
6,Task 6,0.015373945236206055,15.3320312,360172.4289310021
6,Task 7,0.01497495174407959,7.71484375,217904.72858499212
6,Task 8,0.009030146598815918,7.71484375,379491.4742909499
6,Task 9,0.009139552116394042,3.90625,200209.32386815376
6,Task 10,0.006094431877136231,3.90625,333030.9768466107
6,Task 11,0.006358428001403809,1.953125,170952.1368582778
6,Task 12,0.004825711250305176,1.953125,283494.8438528873
