Group,Task Number,Latency (Server),Throughput (Server)
5,Task 25,6.003379821777344e-05,2941.926071403521
6,Task 1,0.00019998550415039061,43928183.88173582
6,Task 2,0.0039005088806152344,154031436.32247123
6,Task 3,0.0026408672332763673,64617080.727227986
6,Task 4,0.0016591882705688477,66795692.50240486
6,Task 5,0.0018900203704833984,201022497.45766753
6,Task 6,0.001579756736755371,5152148.249135693
6,Task 7,0.0014801502227783203,3829045.1987071843
6,Task 8,0.0010799407958984376,6094546.4594763145
6,Task 9,0.0013597869873046874,2708965.5116735543
6,Task 10,0.0007999658584594727,3241005.327513817
6,Task 11,0.0009601736068725586,1729554.176733997
6,Task 12,0.0008101415634155273,2370500.317908866
6,Task 13,0.0009001398086547852,941323.9073107783
6,Task 14,0.0008997964859008789,1600068.2859952908
6,Task 15,0.0008601188659667969,666546.128136748
6,Task 16,0.000680079460144043,789985.3913207258
6,Task 17,0.0008200263977050781,426600.39730258036
6,Task 18,0.0008800268173217773,426763.16924658587
6,Task 19,0.0008999538421630859,297633.2808515357
6,Task 20,0.0006998968124389648,376426.6016000224
6,Task 21,0.000359954833984375,1219.4729374549345
6,Task 22,0.0005202054977416992,68179.74045677441
6,Task 23,0.0006200218200683594,133340.17188211982
6,Task 24,0.0005997991561889648,342907.6911547292
6,Task 25,9.996891021728516e-05,2778.126324713862
7,Task 1,0.0005000352859497071,17568760.139226623
7,Task 2,0.004040908813476562,166870830.9311725
7,Task 3,0.0022606134414672853,69100753.94395967
7,Task 4,0.0017992353439331055,87088422.86555345
7,Task 5,0.0018005037307739257,334984234.8938876
7,Task 6,0.0014094638824462891,4973138.699140943
7,Task 7,0.001439685821533203,4473122.124513537
7,Task 8,0.0010799741744995117,5620165.274152128
7,Task 9,0.0010600709915161133,2843648.6481476086
7,Task 10,0.0009399795532226562,3632586.87488582
7,Task 11,0.0010201501846313476,1778165.737072906
7,Task 12,0.0007198953628540039,2370427.053208352
7,Task 13,0.0008200693130493164,1207466.3020156266
